종목명,코드,종합 점수,현재가,52주 신고가,PER,PBR,ROE,부채비율,배당수익률,필터
한국전력,015760,2,49850,54100,3.89,0.69,,,,"PBR: 0.69, PER: 3.89"
두산,000150,0,799000,1082000,285.66,8.33,,,,
효성중공업,298040,0,1913000,2483000,40.92,8.16,,,,
삼성물산,028260,0,254500,258500,20.81,1.01,,,,
카카오,035720,0,62800,71600,119.62,2.6,,,,
한미반도체,042700,0,167300,168400,66.63,24.17,,,,
삼성전자,005930,0,138100,138600,28.68,2.28,,,,
삼성전자우,005935,0,102000,102400,21.18,1.68,,,,
NAVER,035420,0,249500,295000,18.02,1.37,,,,
셀트리온,068270,0,209500,212000,66.13,2.74,,,,
